№;P+, кВт;Время;Дата;Период, мин.
843;0.8870;13:30;18.03.2019;30
844;0.8950;14:00;18.03.2019;30
845;0.8950;14:30;18.03.2019;30
846;0.8870;15:00;18.03.2019;30
847;0.8690;15:30;18.03.2019;30
848;0.8610;16:00;18.03.2019;30
849;0.8430;16:30;18.03.2019;30
850;0.8520;17:00;18.03.2019;30
851;0.8270;17:30;18.03.2019;30
852;0.7820;18:00;18.03.2019;30
853;0.7480;18:30;18.03.2019;30
854;0.6800;19:00;18.03.2019;30
855;0.6390;19:30;18.03.2019;30
856;0.5890;20:00;18.03.2019;30
857;0.5360;20:30;18.03.2019;30
858;0.5060;21:00;18.03.2019;30
859;0.4570;21:30;18.03.2019;30
860;0.4190;22:00;18.03.2019;30
861;0.3960;22:30;18.03.2019;30
862;0.3520;23:00;18.03.2019;30
863;0.3380;23:30;18.03.2019;30
864;0.3300;00:00;19.03.2019;30
865;0.3170;00:30;19.03.2019;30
866;0.3040;01:00;19.03.2019;30
867;0.3040;01:30;19.03.2019;30
868;0.2990;02:00;19.03.2019;30
869;0.2910;02:30;19.03.2019;30
870;0.2870;03:00;19.03.2019;30
871;0.2830;03:30;19.03.2019;30
872;0.2820;04:00;19.03.2019;30
873;0.2820;04:30;19.03.2019;30
874;0.2800;05:00;19.03.2019;30
875;0.3040;05:30;19.03.2019;30
876;0.3440;06:00;19.03.2019;30
877;0.3750;06:30;19.03.2019;30
878;0.4130;07:00;19.03.2019;30
879;0.5420;07:30;19.03.2019;30
880;0.5800;08:00;19.03.2019;30
881;0.6170;08:30;19.03.2019;30
882;0.6760;09:00;19.03.2019;30
883;0.7940;09:30;19.03.2019;30
884;0.8400;10:00;19.03.2019;30
885;0.8490;10:30;19.03.2019;30
886;0.8540;11:00;19.03.2019;30
887;0.8500;11:30;19.03.2019;30
888;0.8450;12:00;19.03.2019;30
889;0.8800;12:30;19.03.2019;30
890;0.8940;13:00;19.03.2019;30
891;0.8930;13:30;19.03.2019;30
892;0.9000;14:00;19.03.2019;30
893;0.8950;14:30;19.03.2019;30
894;0.8860;15:00;19.03.2019;30
895;0.8700;15:30;19.03.2019;30
896;0.8490;16:00;19.03.2019;30
897;0.8550;16:30;19.03.2019;30
898;0.8500;17:00;19.03.2019;30
899;0.8170;17:30;19.03.2019;30
900;0.7930;18:00;19.03.2019;30
901;0.7480;18:30;19.03.2019;30
902;0.6860;19:00;19.03.2019;30
903;0.6190;19:30;19.03.2019;30
904;0.5560;20:00;19.03.2019;30
905;0.5060;20:30;19.03.2019;30
906;0.4640;21:00;19.03.2019;30
907;0.4140;21:30;19.03.2019;30
908;0.3480;22:00;19.03.2019;30
909;0.3230;22:30;19.03.2019;30
910;0.2930;23:00;19.03.2019;30
911;0.2830;23:30;19.03.2019;30
912;0.2830;00:00;20.03.2019;30
913;0.2750;00:30;20.03.2019;30
914;0.2570;01:00;20.03.2019;30
915;0.2620;01:30;20.03.2019;30
916;0.2630;02:00;20.03.2019;30
917;0.2490;02:30;20.03.2019;30
918;0.2470;03:00;20.03.2019;30
919;0.2430;03:30;20.03.2019;30
920;0.2420;04:00;20.03.2019;30
921;0.2420;04:30;20.03.2019;30
922;0.2390;05:00;20.03.2019;30
923;0.2590;05:30;20.03.2019;30
924;0.2990;06:00;20.03.2019;30
925;0.3380;06:30;20.03.2019;30
926;0.3800;07:00;20.03.2019;30
927;0.5130;07:30;20.03.2019;30
928;0.5750;08:00;20.03.2019;30
929;0.6210;08:30;20.03.2019;30
930;0.6580;09:00;20.03.2019;30
931;0.7950;09:30;20.03.2019;30
932;0.8290;10:00;20.03.2019;30
933;0.8330;10:30;20.03.2019;30
934;0.8470;11:00;20.03.2019;30
935;0.8620;11:30;20.03.2019;30
936;0.8170;12:00;20.03.2019;30
937;0.8570;12:30;20.03.2019;30
938;0.8750;13:00;20.03.2019;30
939;0.8910;13:30;20.03.2019;30
940;0.8900;14:00;20.03.2019;30
941;0.8950;14:30;20.03.2019;30
942;0.8820;15:00;20.03.2019;30
943;0.8730;15:30;20.03.2019;30
944;0.8510;16:00;20.03.2019;30
945;0.8490;16:30;20.03.2019;30
946;0.8530;17:00;20.03.2019;30
947;0.8430;17:30;20.03.2019;30
948;0.8170;18:00;20.03.2019;30
949;0.7520;18:30;20.03.2019;30
950;0.7170;19:00;20.03.2019;30
951;0.6460;19:30;20.03.2019;30
952;0.5990;20:00;20.03.2019;30
953;0.5230;20:30;20.03.2019;30
954;0.4790;21:00;20.03.2019;30
955;0.4330;21:30;20.03.2019;30
956;0.3930;22:00;20.03.2019;30
957;0.3610;22:30;20.03.2019;30
958;0.3280;23:00;20.03.2019;30
959;0.3110;23:30;20.03.2019;30
960;0.2970;00:00;21.03.2019;30
961;0.2900;00:30;21.03.2019;30
962;0.2730;01:00;21.03.2019;30
963;0.2680;01:30;21.03.2019;30
964;0.2660;02:00;21.03.2019;30
965;0.2590;02:30;21.03.2019;30
966;0.2600;03:00;21.03.2019;30
967;0.2610;03:30;21.03.2019;30
968;0.2600;04:00;21.03.2019;30
969;0.2600;04:30;21.03.2019;30
970;0.2580;05:00;21.03.2019;30
971;0.2770;05:30;21.03.2019;30
972;0.3180;06:00;21.03.2019;30
973;0.3540;06:30;21.03.2019;30
974;0.3860;07:00;21.03.2019;30
975;0.5230;07:30;21.03.2019;30
976;0.5680;08:00;21.03.2019;30
977;0.6210;08:30;21.03.2019;30
978;0.6600;09:00;21.03.2019;30
979;0.7990;09:30;21.03.2019;30
980;0.8430;10:00;21.03.2019;30
981;0.8520;10:30;21.03.2019;30
982;0.8360;11:00;21.03.2019;30
983;0.8610;11:30;21.03.2019;30
984;0.8370;12:00;21.03.2019;30
985;0.8600;12:30;21.03.2019;30
986;0.8900;13:00;21.03.2019;30
987;0.9070;13:30;21.03.2019;30
988;0.8960;14:00;21.03.2019;30
989;0.8940;14:30;21.03.2019;30
990;0.8850;15:00;21.03.2019;30
991;0.8770;15:30;21.03.2019;30
992;0.8730;16:00;21.03.2019;30
993;0.8620;16:30;21.03.2019;30
994;0.8480;17:00;21.03.2019;30
995;0.8410;17:30;21.03.2019;30
996;0.7850;18:00;21.03.2019;30
997;0.7460;18:30;21.03.2019;30
998;0.6990;19:00;21.03.2019;30
999;0.6330;19:30;21.03.2019;30
1000;0.5620;20:00;21.03.2019;30
1001;0.5200;20:30;21.03.2019;30
1002;0.4820;21:00;21.03.2019;30
1003;0.4420;21:30;21.03.2019;30
1004;0.4100;22:00;21.03.2019;30
1005;0.3720;22:30;21.03.2019;30
1006;0.3370;23:00;21.03.2019;30
1007;0.2950;23:30;21.03.2019;30
1008;0.2900;00:00;22.03.2019;30
1009;0.2800;00:30;22.03.2019;30
1010;0.2680;01:00;22.03.2019;30
1011;0.2690;01:30;22.03.2019;30
1012;0.2690;02:00;22.03.2019;30
1013;0.2600;02:30;22.03.2019;30
1014;0.2560;03:00;22.03.2019;30
1015;0.2520;03:30;22.03.2019;30
1016;0.2510;04:00;22.03.2019;30
1017;0.2490;04:30;22.03.2019;30
1018;0.2490;05:00;22.03.2019;30
1019;0.2700;05:30;22.03.2019;30
1020;0.3090;06:00;22.03.2019;30
1021;0.3440;06:30;22.03.2019;30
1022;0.3910;07:00;22.03.2019;30
1023;0.5170;07:30;22.03.2019;30
1024;0.5870;08:00;22.03.2019;30
1025;0.5930;08:30;22.03.2019;30
1026;0.6810;09:00;22.03.2019;30
1027;0.7850;09:30;22.03.2019;30
1028;0.8340;10:00;22.03.2019;30
1029;0.8220;10:30;22.03.2019;30
1030;0.8390;11:00;22.03.2019;30
1031;0.8600;11:30;22.03.2019;30
1032;0.8370;12:00;22.03.2019;30
1033;0.8730;12:30;22.03.2019;30
1034;0.8880;13:00;22.03.2019;30
1035;0.9050;13:30;22.03.2019;30
1036;0.8900;14:00;22.03.2019;30
1037;0.8870;14:30;22.03.2019;30
1038;0.8630;15:00;22.03.2019;30
1039;0.8600;15:30;22.03.2019;30
1040;0.8220;16:00;22.03.2019;30
1041;0.7920;16:30;22.03.2019;30
1042;0.7630;17:00;22.03.2019;30
1043;0.6960;17:30;22.03.2019;30
1044;0.6400;18:00;22.03.2019;30
1045;0.5930;18:30;22.03.2019;30
1046;0.5540;19:00;22.03.2019;30
1047;0.5170;19:30;22.03.2019;30
1048;0.4920;20:00;22.03.2019;30
1049;0.4640;20:30;22.03.2019;30
1050;0.4320;21:00;22.03.2019;30
1051;0.3970;21:30;22.03.2019;30
1052;0.3660;22:00;22.03.2019;30
1053;0.3480;22:30;22.03.2019;30
1054;0.3350;23:00;22.03.2019;30
1055;0.3150;23:30;22.03.2019;30
1056;0.3110;00:00;23.03.2019;30
1057;0.3020;00:30;23.03.2019;30
1058;0.2970;01:00;23.03.2019;30
1059;0.2940;01:30;23.03.2019;30
1060;0.2980;02:00;23.03.2019;30
1061;0.2930;02:30;23.03.2019;30
1062;0.2960;03:00;23.03.2019;30
1063;0.2940;03:30;23.03.2019;30
1064;0.2940;04:00;23.03.2019;30
1065;0.2940;04:30;23.03.2019;30
1066;0.2950;05:00;23.03.2019;30
1067;0.3090;05:30;23.03.2019;30
1068;0.3410;06:00;23.03.2019;30
1069;0.3530;06:30;23.03.2019;30
1070;0.3410;07:00;23.03.2019;30
1071;0.3070;07:30;23.03.2019;30
1072;0.2780;08:00;23.03.2019;30
1073;0.2560;08:30;23.03.2019;30
1074;0.2560;09:00;23.03.2019;30
1075;0.2690;09:30;23.03.2019;30
1076;0.2750;10:00;23.03.2019;30
1077;0.3280;10:30;23.03.2019;30
1078;0.3510;11:00;23.03.2019;30
1079;0.3690;11:30;23.03.2019;30
1080;0.3600;12:00;23.03.2019;30
1081;0.3480;12:30;23.03.2019;30
1082;0.3570;13:00;23.03.2019;30
1083;0.3530;13:30;23.03.2019;30
1084;0.3540;14:00;23.03.2019;30
1085;0.3490;14:30;23.03.2019;30
1086;0.3380;15:00;23.03.2019;30
1087;0.3290;15:30;23.03.2019;30
1088;0.3070;16:00;23.03.2019;30
1089;0.3030;16:30;23.03.2019;30
1090;0.2960;17:00;23.03.2019;30
1091;0.2930;17:30;23.03.2019;30
1092;0.2880;18:00;23.03.2019;30
1093;0.2760;18:30;23.03.2019;30
1094;0.2700;19:00;23.03.2019;30
1095;0.2700;19:30;23.03.2019;30
1096;0.2630;20:00;23.03.2019;30
1097;0.2670;20:30;23.03.2019;30
1098;0.2610;21:00;23.03.2019;30
1099;0.2600;21:30;23.03.2019;30
1100;0.2510;22:00;23.03.2019;30
1101;0.2430;22:30;23.03.2019;30
1102;0.2420;23:00;23.03.2019;30
1103;0.2440;23:30;23.03.2019;30
1104;0.2410;00:00;24.03.2019;30
1105;0.2430;00:30;24.03.2019;30
1106;0.2410;01:00;24.03.2019;30
1107;0.2420;01:30;24.03.2019;30
1108;0.2410;02:00;24.03.2019;30
1109;0.2430;02:30;24.03.2019;30
1110;0.2410;03:00;24.03.2019;30
1111;0.2450;03:30;24.03.2019;30
1112;0.2390;04:00;24.03.2019;30
1113;0.2430;04:30;24.03.2019;30
1114;0.2370;05:00;24.03.2019;30
1115;0.2600;05:30;24.03.2019;30
1116;0.2840;06:00;24.03.2019;30
1117;0.3020;06:30;24.03.2019;30
1118;0.2990;07:00;24.03.2019;30
1119;0.2990;07:30;24.03.2019;30
1120;0.2750;08:00;24.03.2019;30
1121;0.2530;08:30;24.03.2019;30
1122;0.2470;09:00;24.03.2019;30
1123;0.2490;09:30;24.03.2019;30
1124;0.2480;10:00;24.03.2019;30
1125;0.2540;10:30;24.03.2019;30
1126;0.2640;11:00;24.03.2019;30
1127;0.2670;11:30;24.03.2019;30
1128;0.2640;12:00;24.03.2019;30
1129;0.2790;12:30;24.03.2019;30
1130;0.2820;13:00;24.03.2019;30
1131;0.2820;13:30;24.03.2019;30
1132;0.2820;14:00;24.03.2019;30
1133;0.2990;14:30;24.03.2019;30
1134;0.3010;15:00;24.03.2019;30
1135;0.3060;15:30;24.03.2019;30
1136;0.3030;16:00;24.03.2019;30
1137;0.2900;16:30;24.03.2019;30
1138;0.2920;17:00;24.03.2019;30
1139;0.2830;17:30;24.03.2019;30
1140;0.2710;18:00;24.03.2019;30
1141;0.2660;18:30;24.03.2019;30
1142;0.2590;19:00;24.03.2019;30
1143;0.2530;19:30;24.03.2019;30
1144;0.2570;20:00;24.03.2019;30
1145;0.2570;20:30;24.03.2019;30
1146;0.2560;21:00;24.03.2019;30
1147;0.2490;21:30;24.03.2019;30
1148;0.2440;22:00;24.03.2019;30
1149;0.2290;22:30;24.03.2019;30
1150;0.2310;23:00;24.03.2019;30
1151;0.2370;23:30;24.03.2019;30
1152;0.2460;00:00;25.03.2019;30
1153;0.2480;00:30;25.03.2019;30
1154;0.2480;01:00;25.03.2019;30
1155;0.2390;01:30;25.03.2019;30
1156;0.2350;02:00;25.03.2019;30
1157;0.2300;02:30;25.03.2019;30
1158;0.2330;03:00;25.03.2019;30
1159;0.2310;03:30;25.03.2019;30
1160;0.2300;04:00;25.03.2019;30
1161;0.2300;04:30;25.03.2019;30
1162;0.2300;05:00;25.03.2019;30
1163;0.2450;05:30;25.03.2019;30
1164;0.2800;06:00;25.03.2019;30
1165;0.2960;06:30;25.03.2019;30
1166;0.3380;07:00;25.03.2019;30
1167;0.4790;07:30;25.03.2019;30
1168;0.5230;08:00;25.03.2019;30
1169;0.5750;08:30;25.03.2019;30
1170;0.6560;09:00;25.03.2019;30
1171;0.7930;09:30;25.03.2019;30
1172;0.8450;10:00;25.03.2019;30
1173;0.8480;10:30;25.03.2019;30
1174;0.8720;11:00;25.03.2019;30
1175;0.8470;11:30;25.03.2019;30
1176;0.8470;12:00;25.03.2019;30
1177;0.8620;12:30;25.03.2019;30
1178;0.8860;13:00;25.03.2019;30
1179;0.9000;13:30;25.03.2019;30
1180;0.9030;14:00;25.03.2019;30
1181;0.8890;14:30;25.03.2019;30
1182;0.8780;15:00;25.03.2019;30
1183;0.8780;15:30;25.03.2019;30
1184;0.8560;16:00;25.03.2019;30
1185;0.8520;16:30;25.03.2019;30
1186;0.8450;17:00;25.03.2019;30
1187;0.8300;17:30;25.03.2019;30
1188;0.8130;18:00;25.03.2019;30
1189;0.7780;18:30;25.03.2019;30
1190;0.7060;19:00;25.03.2019;30
1191;0.6680;19:30;25.03.2019;30
1192;0.5930;20:00;25.03.2019;30
1193;0.5330;20:30;25.03.2019;30
1194;0.4940;21:00;25.03.2019;30
1195;0.4520;21:30;25.03.2019;30
1196;0.4170;22:00;25.03.2019;30
1197;0.3950;22:30;25.03.2019;30
1198;0.3660;23:00;25.03.2019;30
1199;0.3510;23:30;25.03.2019;30
1200;0.3390;00:00;26.03.2019;30
1201;0.2860;00:30;26.03.2019;30
1202;0.2720;01:00;26.03.2019;30
1203;0.2680;01:30;26.03.2019;30
1204;0.2660;02:00;26.03.2019;30
1205;0.2660;02:30;26.03.2019;30
1206;0.2590;03:00;26.03.2019;30
1207;0.2530;03:30;26.03.2019;30
1208;0.2520;04:00;26.03.2019;30
1209;0.2490;04:30;26.03.2019;30
1210;0.2470;05:00;26.03.2019;30
1211;0.2690;05:30;26.03.2019;30
1212;0.3180;06:00;26.03.2019;30
1213;0.3450;06:30;26.03.2019;30
1214;0.3890;07:00;26.03.2019;30
1215;0.5220;07:30;26.03.2019;30
1216;0.5520;08:00;26.03.2019;30
1217;0.6070;08:30;26.03.2019;30
1218;0.6850;09:00;26.03.2019;30
1219;0.7890;09:30;26.03.2019;30
1220;0.8390;10:00;26.03.2019;30
1221;0.8410;10:30;26.03.2019;30
1222;0.8420;11:00;26.03.2019;30
1223;0.8550;11:30;26.03.2019;30
1224;0.8330;12:00;26.03.2019;30
1225;0.8740;12:30;26.03.2019;30
1226;0.8960;13:00;26.03.2019;30
1227;0.8890;13:30;26.03.2019;30
1228;0.8860;14:00;26.03.2019;30
1229;0.8760;14:30;26.03.2019;30
1230;0.8860;15:00;26.03.2019;30
1231;0.8680;15:30;26.03.2019;30
1232;0.8570;16:00;26.03.2019;30
1233;0.8460;16:30;26.03.2019;30
1234;0.8400;17:00;26.03.2019;30
1235;0.8220;17:30;26.03.2019;30
1236;0.8000;18:00;26.03.2019;30
1237;0.7360;18:30;26.03.2019;30
1238;0.6950;19:00;26.03.2019;30
1239;0.6410;19:30;26.03.2019;30
1240;0.5720;20:00;26.03.2019;30
1241;0.5240;20:30;26.03.2019;30
1242;0.4800;21:00;26.03.2019;30
1243;0.4460;21:30;26.03.2019;30
1244;0.3950;22:00;26.03.2019;30
1245;0.3760;22:30;26.03.2019;30
1246;0.3430;23:00;26.03.2019;30
1247;0.3290;23:30;26.03.2019;30
1248;0.3150;00:00;27.03.2019;30
1249;0.3070;00:30;27.03.2019;30
1250;0.2970;01:00;27.03.2019;30
1251;0.2950;01:30;27.03.2019;30
1252;0.3010;02:00;27.03.2019;30
1253;0.2960;02:30;27.03.2019;30
1254;0.2940;03:00;27.03.2019;30
1255;0.2940;03:30;27.03.2019;30
1256;0.2880;04:00;27.03.2019;30
1257;0.2920;04:30;27.03.2019;30
1258;0.2890;05:00;27.03.2019;30
1259;0.3100;05:30;27.03.2019;30
1260;0.3510;06:00;27.03.2019;30
1261;0.3820;06:30;27.03.2019;30
1262;0.4310;07:00;27.03.2019;30
1263;0.5480;07:30;27.03.2019;30
1264;0.5750;08:00;27.03.2019;30
1265;0.6550;08:30;27.03.2019;30
1266;0.6840;09:00;27.03.2019;30
1267;0.7960;09:30;27.03.2019;30
1268;0.8350;10:00;27.03.2019;30
1269;0.8550;10:30;27.03.2019;30
1270;0.8520;11:00;27.03.2019;30
1271;0.8480;11:30;27.03.2019;30
1272;0.8450;12:00;27.03.2019;30
1273;0.8730;12:30;27.03.2019;30
1274;0.8900;13:00;27.03.2019;30
1275;0.9040;13:30;27.03.2019;30
1276;0.8910;14:00;27.03.2019;30
1277;0.8940;14:30;27.03.2019;30
1278;0.8840;15:00;27.03.2019;30
1279;0.8690;15:30;27.03.2019;30
1280;0.8600;16:00;27.03.2019;30
1281;0.8400;16:30;27.03.2019;30
1282;0.8430;17:00;27.03.2019;30
1283;0.8400;17:30;27.03.2019;30
1284;0.8130;18:00;27.03.2019;30
1285;0.7430;18:30;27.03.2019;30
1286;0.7120;19:00;27.03.2019;30
1287;0.6300;19:30;27.03.2019;30
1288;0.5670;20:00;27.03.2019;30
1289;0.5040;20:30;27.03.2019;30
1290;0.4680;21:00;27.03.2019;30
1291;0.4280;21:30;27.03.2019;30
1292;0.3750;22:00;27.03.2019;30
1293;0.3480;22:30;27.03.2019;30
1294;0.3240;23:00;27.03.2019;30
1295;0.3070;23:30;27.03.2019;30
1296;0.2960;00:00;28.03.2019;30
1297;0.2840;00:30;28.03.2019;30
1298;0.2770;01:00;28.03.2019;30
1299;0.2740;01:30;28.03.2019;30
1300;0.2760;02:00;28.03.2019;30
1301;0.2690;02:30;28.03.2019;30
1302;0.2690;03:00;28.03.2019;30
1303;0.2630;03:30;28.03.2019;30
1304;0.2530;04:00;28.03.2019;30
1305;0.2510;04:30;28.03.2019;30
1306;0.2540;05:00;28.03.2019;30
1307;0.2740;05:30;28.03.2019;30
1308;0.3190;06:00;28.03.2019;30
1309;0.3390;06:30;28.03.2019;30
1310;0.3470;07:00;28.03.2019;30
1311;0.5350;07:30;28.03.2019;30
1312;0.5860;08:00;28.03.2019;30
1313;0.6220;08:30;28.03.2019;30
1314;0.6880;09:00;28.03.2019;30
1315;0.7850;09:30;28.03.2019;30
1316;0.8190;10:00;28.03.2019;30
1317;0.8340;10:30;28.03.2019;30
1318;0.8540;11:00;28.03.2019;30
1319;0.8310;11:30;28.03.2019;30
1320;0.8410;12:00;28.03.2019;30
1321;0.8700;12:30;28.03.2019;30
1322;0.8780;13:00;28.03.2019;30
1323;0.8890;13:30;28.03.2019;30
1324;0.8900;14:00;28.03.2019;30
1325;0.8790;14:30;28.03.2019;30
1326;0.8570;15:00;28.03.2019;30
1327;0.8600;15:30;28.03.2019;30
1328;0.8570;16:00;28.03.2019;30
1329;0.8390;16:30;28.03.2019;30
1330;0.8440;17:00;28.03.2019;30
1331;0.8130;17:30;28.03.2019;30
1332;0.8020;18:00;28.03.2019;30
1333;0.7350;18:30;28.03.2019;30
1334;0.6620;19:00;28.03.2019;30
1335;0.6230;19:30;28.03.2019;30
1336;0.5690;20:00;28.03.2019;30
1337;0.5370;20:30;28.03.2019;30
1338;0.4830;21:00;28.03.2019;30
1339;0.4280;21:30;28.03.2019;30
1340;0.3650;22:00;28.03.2019;30
1341;0.3320;22:30;28.03.2019;30
1342;0.2960;23:00;28.03.2019;30
1343;0.2830;23:30;28.03.2019;30
1344;0.2740;00:00;29.03.2019;30
1345;0.2690;00:30;29.03.2019;30
1346;0.2600;01:00;29.03.2019;30
1347;0.2600;01:30;29.03.2019;30
1348;0.2630;02:00;29.03.2019;30
1349;0.2620;02:30;29.03.2019;30
1350;0.2580;03:00;29.03.2019;30
1351;0.2550;03:30;29.03.2019;30
1352;0.2520;04:00;29.03.2019;30
1353;0.2490;04:30;29.03.2019;30
1354;0.2520;05:00;29.03.2019;30
1355;0.2830;05:30;29.03.2019;30
1356;0.3190;06:00;29.03.2019;30
1357;0.3530;06:30;29.03.2019;30
1358;0.4020;07:00;29.03.2019;30
1359;0.5360;07:30;29.03.2019;30
1360;0.5880;08:00;29.03.2019;30
1361;0.6600;08:30;29.03.2019;30
1362;0.7040;09:00;29.03.2019;30
1363;0.8170;09:30;29.03.2019;30
1364;0.8320;10:00;29.03.2019;30
1365;0.8370;10:30;29.03.2019;30
1366;0.8460;11:00;29.03.2019;30
1367;0.8270;11:30;29.03.2019;30
1368;0.8530;12:00;29.03.2019;30
1369;0.9030;12:30;29.03.2019;30
1370;0.8900;13:00;29.03.2019;30
1371;0.8860;13:30;29.03.2019;30
1372;0.8790;14:00;29.03.2019;30
1373;0.8780;14:30;29.03.2019;30
1374;0.8680;15:00;29.03.2019;30
1375;0.8510;15:30;29.03.2019;30
1376;0.8400;16:00;29.03.2019;30
1377;0.8120;16:30;29.03.2019;30
1378;0.7700;17:00;29.03.2019;30
1379;0.6990;17:30;29.03.2019;30
1380;0.6390;18:00;29.03.2019;30
1381;0.5900;18:30;29.03.2019;30
1382;0.5480;19:00;29.03.2019;30
1383;0.4940;19:30;29.03.2019;30
1384;0.4570;20:00;29.03.2019;30
1385;0.4350;20:30;29.03.2019;30
1386;0.4180;21:00;29.03.2019;30
1387;0.3870;21:30;29.03.2019;30
1388;0.3640;22:00;29.03.2019;30
1389;0.3230;22:30;29.03.2019;30
1390;0.3010;23:00;29.03.2019;30
1391;0.2600;23:30;29.03.2019;30
1392;0.2260;00:00;30.03.2019;30
1393;0.2220;00:30;30.03.2019;30
1394;0.2140;01:00;30.03.2019;30
1395;0.2110;01:30;30.03.2019;30
1396;0.2100;02:00;30.03.2019;30
1397;0.2090;02:30;30.03.2019;30
1398;0.2070;03:00;30.03.2019;30
1399;0.2070;03:30;30.03.2019;30
1400;0.2070;04:00;30.03.2019;30
1401;0.2070;04:30;30.03.2019;30
1402;0.2060;05:00;30.03.2019;30
1403;0.2220;05:30;30.03.2019;30
1404;0.2520;06:00;30.03.2019;30
1405;0.2660;06:30;30.03.2019;30
1406;0.2630;07:00;30.03.2019;30
1407;0.2620;07:30;30.03.2019;30
1408;0.2420;08:00;30.03.2019;30
1409;0.2240;08:30;30.03.2019;30
1410;0.2280;09:00;30.03.2019;30
1411;0.2440;09:30;30.03.2019;30
1412;0.2470;10:00;30.03.2019;30
1413;0.3110;10:30;30.03.2019;30
1414;0.3330;11:00;30.03.2019;30
1415;0.3490;11:30;30.03.2019;30
1416;0.3430;12:00;30.03.2019;30
1417;0.3460;12:30;30.03.2019;30
1418;0.3540;13:00;30.03.2019;30
1419;0.3510;13:30;30.03.2019;30
1420;0.3500;14:00;30.03.2019;30
1421;0.3410;14:30;30.03.2019;30
1422;0.3280;15:00;30.03.2019;30
1423;0.2980;15:30;30.03.2019;30
1424;0.2980;16:00;30.03.2019;30
1425;0.3000;16:30;30.03.2019;30
1426;0.3050;17:00;30.03.2019;30
1427;0.3060;17:30;30.03.2019;30
1428;0.2980;18:00;30.03.2019;30
1429;0.2750;18:30;30.03.2019;30
1430;0.2600;19:00;30.03.2019;30
1431;0.2530;19:30;30.03.2019;30
1432;0.2440;20:00;30.03.2019;30
1433;0.2420;20:30;30.03.2019;30
1434;0.2370;21:00;30.03.2019;30
1435;0.2400;21:30;30.03.2019;30
1436;0.2340;22:00;30.03.2019;30
1437;0.2300;22:30;30.03.2019;30
1438;0.2290;23:00;30.03.2019;30
1439;0.2290;23:30;30.03.2019;30
1440;0.2250;00:00;31.03.2019;30
1441;0.2300;00:30;31.03.2019;30
1442;0.2320;01:00;31.03.2019;30
1443;0.2290;01:30;31.03.2019;30
1444;0.2420;02:00;31.03.2019;30
1445;0.2400;02:30;31.03.2019;30
1446;0.2390;03:00;31.03.2019;30
1447;0.2390;03:30;31.03.2019;30
1448;0.2320;04:00;31.03.2019;30
1449;0.2250;04:30;31.03.2019;30
1450;0.2260;05:00;31.03.2019;30
1451;0.2360;05:30;31.03.2019;30
1452;0.2640;06:00;31.03.2019;30
1453;0.2780;06:30;31.03.2019;30
1454;0.2770;07:00;31.03.2019;30
1455;0.2730;07:30;31.03.2019;30
1456;0.2510;08:00;31.03.2019;30
1457;0.2310;08:30;31.03.2019;30
1458;0.2290;09:00;31.03.2019;30
1459;0.2330;09:30;31.03.2019;30
1460;0.2420;10:00;31.03.2019;30
1461;0.2480;10:30;31.03.2019;30
1462;0.2490;11:00;31.03.2019;30
1463;0.2480;11:30;31.03.2019;30
1464;0.2470;12:00;31.03.2019;30
1465;0.2500;12:30;31.03.2019;30
1466;0.2560;13:00;31.03.2019;30
1467;0.2590;13:30;31.03.2019;30
1468;0.2550;14:00;31.03.2019;30
1469;0.2530;14:30;31.03.2019;30
1470;0.2520;15:00;31.03.2019;30
1471;0.2580;15:30;31.03.2019;30
1472;0.2760;16:00;31.03.2019;30
1473;0.2770;16:30;31.03.2019;30
1474;0.2700;17:00;31.03.2019;30
1475;0.2640;17:30;31.03.2019;30
1476;0.2600;18:00;31.03.2019;30
1477;0.2390;18:30;31.03.2019;30
1478;0.2340;19:00;31.03.2019;30
1479;0.2390;19:30;31.03.2019;30
1480;0.2400;20:00;31.03.2019;30
1481;0.2240;20:30;31.03.2019;30
1482;0.2190;21:00;31.03.2019;30
1483;0.2230;21:30;31.03.2019;30
1484;0.2250;22:00;31.03.2019;30
1485;0.2220;22:30;31.03.2019;30
1486;0.2160;23:00;31.03.2019;30
1487;0.2100;23:30;31.03.2019;30
1488;0.2040;00:00;01.04.2019;30
